point_id,timestamp,latitude,longitude,true_speed_ms,true_dir_deg,wind_category,filename
160.0,2023-10-07T01:00,22.0263,68.0,0.28,229,Low,SAR_p160.0_20231007T0100.tif
153.0,2023-10-31T01:00,21.8421,68.0,0.5,10,Low,SAR_p153.0_20231031T0100.tif
88.0,2023-07-27T01:00,20.7368,69.6579,1.66,266,Medium,SAR_p88.0_20230727T0100.tif
114.0,2023-08-20T01:00,21.1053,68.0,1.14,274,Low,SAR_p114.0_20230820T0100.tif
133.0,2023-05-04T01:00,21.2895,69.6579,0.1,290,Low,SAR_p133.0_20230504T0100.tif
143.0,2024-03-23T01:00,21.4737,69.6579,0.08,319,Low,SAR_p143.0_20240323T0100.tif
121.0,2024-05-22T01:00,21.1053,69.6579,0.18,257,Low,SAR_p121.0_20240522T0100.tif
194.0,2023-06-23T14:00,22.9474,68.2368,0.6,230,Low,SAR_p194.0_20230623T1400.tif
142.0,2024-06-03T01:00,21.4737,69.4211,0.2,245,Low,SAR_p142.0_20240603T0100.tif
126.0,2023-11-12T01:00,21.2895,68.0,0.78,48,Low,SAR_p126.0_20231112T0100.tif
121.0,2023-07-22T01:00,21.1053,69.6579,1.14,280,Low,SAR_p121.0_20230722T0100.tif
79.0,2024-06-17T01:00,20.5526,72.2632,0.36,232,Low,SAR_p79.0_20240617T0100.tif
84.0,2023-06-23T14:00,20.7368,68.7105,0.16,225,Low,SAR_p84.0_20230623T1400.tif
98.0,2024-06-29T01:00,20.7368,72.5,2.1,220,Medium,SAR_p98.0_20240629T0100.tif
185.0,2023-03-05T01:00,22.7632,68.0,0.4,341,Low,SAR_p185.0_20230305T0100.tif
96.0,2023-01-23T01:00,20.7368,72.0263,0.44,359,Low,SAR_p96.0_20230123T0100.tif
140.0,2024-07-21T01:00,21.4737,68.9474,1.58,258,Medium,SAR_p140.0_20240721T0100.tif
66.0,2023-05-16T01:00,20.5526,69.1842,0.86,250,Low,SAR_p66.0_20230516T0100.tif
163.0,2024-11-18T01:00,22.0263,68.7105,0.26,45,Low,SAR_p163.0_20241118T0100.tif
96.0,2023-09-27T01:00,20.7368,72.0263,0.04,305,Low,SAR_p96.0_20230927T0100.tif
60.0,2023-02-23T01:00,20.3684,72.5,0.0,13,Low,SAR_p60.0_20230223T0100.tif
48.0,2023-12-13T01:00,20.3684,69.6579,0.34,20,Low,SAR_p48.0_20231213T0100.tif
77.0,2024-07-11T01:00,20.5526,71.7895,0.84,251,Low,SAR_p77.0_20240711T0100.tif
145.0,2023-07-15T01:00,21.6579,68.0,1.4,256,Low,SAR_p145.0_20230715T0100.tif
94.0,2024-08-09T01:00,20.7368,71.5526,0.66,251,Low,SAR_p94.0_20240809T0100.tif
86.0,2023-04-10T01:00,20.7368,69.1842,0.48,324,Low,SAR_p86.0_20230410T0100.tif
187.0,2023-08-08T01:00,22.7632,68.4737,1.96,238,Medium,SAR_p187.0_20230808T0100.tif
95.0,2024-06-05T01:00,20.7368,71.7895,0.2,251,Low,SAR_p95.0_20240605T0100.tif
173.0,2023-02-09T01:00,22.3947,68.7105,0.08,315,Low,SAR_p173.0_20230209T0100.tif
194.0,2024-01-01T14:00,22.9474,68.2368,0.48,6,Low,SAR_p194.0_20240101T1400.tif
149.0,2023-05-16T01:00,21.6579,68.9474,1.02,249,Low,SAR_p149.0_20230516T0100.tif
9.0,2023-02-04T01:00,20.0,69.8947,0.52,350,Low,SAR_p9.0_20230204T0100.tif
74.0,2024-05-05T01:00,20.5526,71.0789,0.74,292,Low,SAR_p74.0_20240505T0100.tif
202.0,2023-09-01T01:00,23.3158,68.4737,0.1,258,Low,SAR_p202.0_20230901T0100.tif
140.0,2024-08-26T01:00,21.4737,68.9474,2.26,267,Medium,SAR_p140.0_20240826T0100.tif
90.0,2024-01-30T01:00,20.7368,70.1316,0.32,359,Low,SAR_p90.0_20240130T0100.tif
115.0,2024-01-11T01:00,21.1053,68.2368,0.74,42,Low,SAR_p115.0_20240111T0100.tif
163.0,2023-07-15T01:00,22.0263,68.7105,1.1,268,Low,SAR_p163.0_20230715T0100.tif
188.0,2024-08-02T01:00,22.7632,68.7105,0.66,244,Low,SAR_p188.0_20240802T0100.tif
197.0,2023-05-06T14:00,23.1316,68.0,0.32,281,Low,SAR_p197.0_20230506T1400.tif
158.0,2023-01-16T01:00,21.8421,69.1842,0.2,22,Low,SAR_p158.0_20230116T0100.tif
181.0,2024-08-26T01:00,22.5789,69.4211,1.28,275,Low,SAR_p181.0_20240826T0100.tif
162.0,2024-03-23T01:00,22.0263,68.4737,0.16,301,Low,SAR_p162.0_20240323T0100.tif
99.0,2024-08-26T01:00,20.9211,68.0,2.12,264,Medium,SAR_p99.0_20240826T0100.tif
94.0,2024-06-22T01:00,20.7368,71.5526,0.5,271,Low,SAR_p94.0_20240622T0100.tif
123.0,2024-06-22T01:00,21.1053,72.0263,0.14,255,Low,SAR_p123.0_20240622T0100.tif
87.0,2024-05-22T01:00,20.7368,69.4211,0.38,270,Low,SAR_p87.0_20240522T0100.tif
184.0,2024-10-25T01:00,22.5789,70.1316,0.14,350,Low,SAR_p184.0_20241025T0100.tif
190.0,2024-08-02T01:00,22.7632,69.1842,0.98,243,Low,SAR_p190.0_20240802T0100.tif
